index,fear,anger,trust,surprise,positive,negative,sadness,disgust,joy
0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.25,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333
1,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.0
2,0.041666666666666664,0.0,0.20833333333333334,0.041666666666666664,0.20833333333333334,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.16666666666666666
3,0.0,0.06666666666666667,0.2,0.0,0.13333333333333333,0.2,0.06666666666666667,0.13333333333333333,0.13333333333333333
4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.0,0.0,0.18181818181818182
6,0.09090909090909091,0.045454545454545456,0.22727272727272727,0.045454545454545456,0.18181818181818182,0.13636363636363635,0.045454545454545456,0.09090909090909091,0.045454545454545456
7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
11,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.25,0.0,0.5,0.25,0.0,0.0
15,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0
16,0.2,0.0,0.2,0.0,0.4,0.2,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
18,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.0
19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
26,0.0,0.25,0.25,0.0,0.0,0.5,0.0,0.0,0.0
27,0.0,0.0,0.125,0.125,0.375,0.0,0.0,0.0,0.125
28,0.037037037037037035,0.037037037037037035,0.2222222222222222,0.07407407407407407,0.2222222222222222,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.1111111111111111
29,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0
